post_id,username,created_at,cooked,post_num,updated_at,reply_count,reply_to_post_num,reads,topic_id,user_id,topic_slug,forum
370818,jasondark,2020-04-11T01:58:53.648Z,thought would leave post case anyone future solution obvious anywhere else could find want use form handle follow official video works fine get want allow select opt add form follow exact video user form added present form regardless whether checked box get around limitation follow post carry please watch video linked context need know watch video need get information see embed form field going copy embed code code editor see edit properly like notice name form well form action post need make note record text editor somewhere case know action field name general newsletter field name german newsletter field name newsletter field name need need make form used default form added give form id important make sure giving form element id parent wrapper next need go give form name embed form mine select default field element set name cause within inherit name ultimately want important make sure make field set field match need add custom code make work add code snippet body code head code page form need replace action code snippet script replace action documentgetelementbyidmailchimpformaddeventlistenersubmit function let input type const name type email else type inputchecked name true type post true encodeurisubmissionurl data script goes 548 kb publish site good go added select enter kb,,2020-04-11T01:59:43.104Z,0,,22,115620,16358,how-to-use-a-webflow-form-for-mailchimp-signups-with-groups,webflow
402044,Charles_Dew,2020-07-20T19:45:20.387Z,hi thanks setting helpful tutorial currently trying get added select part right every step correctly believe form filled user regardless checked missing,,2020-07-20T19:45:20.387Z,0,,8,115620,38945,how-to-use-a-webflow-form-for-mailchimp-signups-with-groups,webflow
404957,tpetrich,2020-07-30T18:13:36.924Z,hi tutorial proven helpful getting still selected even thus user profile see issue change need address preview link thanks,,2020-07-30T18:13:36.924Z,0,,4,115620,34633,how-to-use-a-webflow-form-for-mailchimp-signups-with-groups,webflow
404958,MohitV,2020-07-30T18:25:13.197Z,added footer social media links current year copyright text code embed copy showing copyright text social links delete whole footer made new one social media links still work footer show works mobile link link,,2020-07-30T18:25:13.197Z,0,,4,131225,39717,footer-doesnt-show-in-published-on-desktop-or-tablet-works-on-mobile,webflow
404677,vectra,2020-07-29T18:04:47.934Z,need help getting logos lay right horizontally load logos would like closer together sized appropriately thought grid would div seem width loss thanks site share site link,,2020-07-29T18:04:47.934Z,0,,7,131080,38732,multiple-varying-logos-in-a-grid,webflow
404699,ChrisT,2020-07-29T19:31:30.145Z,hi could provide link way could look set logos easier check live site least share project invite university learn share project link find different inviting setting team,,2020-07-29T19:31:30.145Z,1,,6,131080,37075,multiple-varying-logos-in-a-grid,webflow
404703,vectra,2020-07-29T19:34:10.216Z,sorry,,2020-07-29T19:34:10.216Z,0,,6,131080,38732,multiple-varying-logos-in-a-grid,webflow
404961,ChrisT,2020-07-30T18:33:18.917Z,could guide page three setup seem find page like one designer,,2020-07-30T18:33:26.815Z,0,,3,131080,37075,multiple-varying-logos-in-a-grid,webflow
404926,OvertonGraphics,2020-07-30T16:42:44.309Z,hi new spent designing building new beard oil business beard oil oil nature beard oil inspired nature nature proudly made one tree every bottle sold beard oil oil nature would love feedback thanks josh,,2020-07-30T16:42:44.309Z,0,,11,131207,1229,hinterlands-beard-oil-new-website-launched-today,webflow
404934,casen,2020-07-30T17:10:04.379Z,hey josh love photography used throughout site minimal easy read great job good luck business,,2020-07-30T17:10:04.379Z,1,,11,131207,37358,hinterlands-beard-oil-new-website-launched-today,webflow
404935,OvertonGraphics,2020-07-30T17:19:29.515Z,thank much really appreciate,,2020-07-30T17:19:29.515Z,0,,10,131207,1229,hinterlands-beard-oil-new-website-launched-today,webflow
404936,sam-g,2020-07-30T17:20:24.862Z,nice looking site one piece feedback first glance much visual different × love product might visually look quite similar maybe remove product image go different style background two,,2020-07-30T17:20:24.862Z,1,,10,131207,15137,hinterlands-beard-oil-new-website-launched-today,webflow
404938,OvertonGraphics,2020-07-30T17:27:13.851Z,great feedback look making clear bottle belong thanks sam,,2020-07-30T17:27:13.851Z,0,,8,131207,1229,hinterlands-beard-oil-new-website-launched-today,webflow
404940,ChrisT,2020-07-30T17:36:55.332Z,looking beautiful site made beard grow wild little beautiful color palette everything works well brand identity best luck business,,2020-07-30T17:36:55.332Z,1,,7,131207,37075,hinterlands-beard-oil-new-website-launched-today,webflow
404942,OvertonGraphics,2020-07-30T17:38:32.787Z,great response thanks lot,,2020-07-30T17:38:32.787Z,0,,7,131207,1229,hinterlands-beard-oil-new-website-launched-today,webflow
404963,mikeyevin,2020-07-30T18:43:36.952Z,wow great nicely done site easy navigate clear right amount add experience rather distract color palette masculine without half product significant compliment brand without feeling forced well executed someone worked beard niche handful ago tell refreshing see type brand world beard oil mainly sold eventually beard care always felt like turning away business excluding fit mold still one best ever going feedback think would help distinguish two really speak idea sure already getting happy provide used include marketing collateral us along would display site keep great work thanks trip memory lane,,2020-07-30T18:43:36.952Z,0,,4,131207,1338,hinterlands-beard-oil-new-website-launched-today,webflow
404603,luqmann44,2020-07-29T14:02:03.555Z,hello everyone first post forum would knowledge level beginner intermediate designing client figure adjust hover element trigger buttons specifically purchase button buttons way across page currently hover buttons button background turns teal text turns white would like program button background turns red attempt adjust button add element trigger perplexed would adjust setting site read link,,2020-07-29T14:02:03.555Z,0,,6,131044,39653,button-element-trigger,webflow
404962,ChrisT,2020-07-30T18:40:53.989Z,hi welcome forum change colors hover state following start double select button purchase button element button outline select hover state blue arrow selector panel scroll way change desired color change font color regular procedure hope,,2020-07-30T18:42:26.281Z,0,,4,131044,37075,button-element-trigger,webflow
404970,luqmann44,2020-07-30T19:01:18.224Z,thank surprisingly easy,,2020-07-30T19:01:27.743Z,0,,3,131044,39653,button-element-trigger,webflow
